epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10860.5,0.64805,0.71369,1.16695,0.90196,0.87941,0.9243,0.7857,0.61296,0.61745,1.14626,0.003614,0.003614,0.003614
44,11126.9,0.65929,0.72345,1.16363,0.89318,0.88707,0.91815,0.79469,0.61682,0.58887,1.14623,0.003581,0.003581,0.003581
45,11395.8,0.65643,0.70784,1.16355,0.87964,0.87799,0.91177,0.79333,0.59896,0.61292,1.13275,0.003548,0.003548,0.003548
46,11662.2,0.63638,0.72124,1.14643,0.91163,0.87756,0.92494,0.80246,0.6074,0.56088,1.13404,0.003515,0.003515,0.003515
47,11927.8,0.64583,0.68424,1.15728,0.88158,0.88654,0.92172,0.79222,0.59755,0.59997,1.12971,0.003482,0.003482,0.003482
48,12190.5,0.64505,0.72409,1.16321,0.8937,0.88243,0.92529,0.7968,0.58951,0.57801,1.1292,0.003449,0.003449,0.003449
49,12459.6,0.64445,0.68684,1.15732,0.88956,0.89046,0.9249,0.80194,0.59433,0.57839,1.12334,0.003416,0.003416,0.003416
50,12725.8,0.63693,0.67339,1.14882,0.88812,0.87723,0.924,0.80352,0.58942,0.58581,1.12066,0.003383,0.003383,0.003383
51,12968,0.63785,0.69182,1.15397,0.87393,0.88335,0.9229,0.79089,0.62234,0.59517,1.16585,0.00335,0.00335,0.00335
52,13218.9,0.6403,0.69816,1.15237,0.87771,0.86707,0.91663,0.79211,0.61739,0.59468,1.15809,0.003317,0.003317,0.003317
53,13481.3,0.62338,0.69288,1.14918,0.91322,0.84786,0.91283,0.80001,0.5875,0.63237,1.1197,0.003284,0.003284,0.003284
54,13744.4,0.63225,0.66715,1.14677,0.89435,0.87333,0.92417,0.80552,0.57112,0.59685,1.09347,0.003251,0.003251,0.003251
55,14010.2,0.62416,0.67666,1.14467,0.91927,0.87247,0.92635,0.80636,0.60378,0.57803,1.14246,0.003218,0.003218,0.003218
56,14281.4,0.61235,0.65052,1.13566,0.89865,0.87966,0.92107,0.79711,0.61574,0.62014,1.14761,0.003185,0.003185,0.003185
57,14542.7,0.62799,0.66557,1.14563,0.91137,0.89123,0.93124,0.81002,0.61634,0.54146,1.16091,0.003152,0.003152,0.003152
58,14814.7,0.61568,0.65103,1.13257,0.88261,0.90326,0.93306,0.81755,0.57219,0.53793,1.09032,0.003119,0.003119,0.003119
59,15077.4,0.61406,0.65039,1.12779,0.89726,0.88463,0.92325,0.8196,0.56242,0.54123,1.08944,0.003086,0.003086,0.003086
60,15330.7,0.61276,0.63816,1.13515,0.90406,0.90679,0.92922,0.80554,0.58387,0.5347,1.11503,0.003053,0.003053,0.003053
61,15585.2,0.60459,0.62755,1.12582,0.87904,0.89476,0.93267,0.81293,0.56967,0.53491,1.10685,0.00302,0.00302,0.00302
62,15845.3,0.59953,0.62589,1.12814,0.91536,0.8548,0.9238,0.80879,0.57114,0.53055,1.10912,0.002987,0.002987,0.002987
63,16097.5,0.60073,0.63077,1.12622,0.92139,0.86113,0.9248,0.81475,0.56417,0.54689,1.11048,0.002954,0.002954,0.002954
64,16346.9,0.60742,0.62226,1.12978,0.91367,0.8785,0.92797,0.81385,0.57156,0.55568,1.10841,0.002921,0.002921,0.002921
65,16610.5,0.60944,0.60503,1.12765,0.90892,0.8843,0.93165,0.81937,0.58444,0.53139,1.11958,0.002888,0.002888,0.002888
66,16841.1,0.60072,0.6085,1.12385,0.91192,0.89798,0.93101,0.81468,0.56806,0.52025,1.09745,0.002855,0.002855,0.002855
67,17091,0.58902,0.61488,1.11369,0.9071,0.89043,0.9373,0.82382,0.55832,0.50845,1.07487,0.002822,0.002822,0.002822
68,17341.3,0.5879,0.59525,1.12332,0.89115,0.902,0.93067,0.81718,0.57037,0.51283,1.09203,0.002789,0.002789,0.002789
